method,model,aggregation,version,train_time_s,train_acc,valid_acc,mrr,hits_1,hits_3,hits_10,conformal_cov_a0.01,conformal_size_a0.01,conformal_cov_a0.05,conformal_size_a0.05,conformal_cov_a0.1,conformal_size_a0.1
rf_subtract,roberta,sum,fb237_v2_ind_seed7004,2.7,0.822767,0.526201,0.606044,0.476596,0.691489,0.821277,1.0,172.0,0.942553,30.3,0.876596,12.4638
rf_subtract,roberta,sum,fb237_v2_ind_seed7005,3.0,0.816228,0.492632,0.649996,0.523109,0.747899,0.846639,0.989496,80.8929,0.951681,26.2374,0.918067,14.229
rf_subtract,roberta,sum,fb237_v2_ind_seed7006,2.8,0.820939,0.531915,0.628327,0.494647,0.719486,0.856531,1.0,172.0,0.970021,40.257,0.916488,15.8951
rf_subtract,roberta,sum,fb237_v2_ind_seed7007,2.9,0.816184,0.546039,0.650653,0.513402,0.748454,0.853608,1.0,172.0,0.973196,36.9093,0.931959,17.2124
rf_subtract,roberta,sum,fb237_v2_ind_seed7008,3.0,0.824012,0.503185,0.64539,0.511628,0.744186,0.84778,1.0,172.0,0.940803,35.296,0.917548,14.8224
rf_subtract,roberta,sum,fb237_v2_ind_seed7009,2.9,0.818794,0.509636,0.6243,0.482759,0.721983,0.840517,1.0,172.0,0.935345,36.0409,0.875,12.7608
rf_subtract,roberta,sum,fb237_v2_ind_seed7010,2.7,0.822115,0.506522,0.665114,0.536017,0.771186,0.858051,1.0,172.0,0.95339,33.1038,0.90678,14.6907
rf_subtract,roberta,sum,fb237_v3_ind_seed7001,5.3,0.821168,0.590751,0.662076,0.551487,0.727689,0.864989,0.988558,85.0778,0.947368,25.0641,0.901602,11.5915
rf_subtract,roberta,sum,fb237_v3_ind_seed7002,5.5,0.82705,0.579439,0.681301,0.569318,0.761364,0.854545,1.0,183.0,0.952273,25.3432,0.880682,10.9636
rf_subtract,roberta,sum,fb237_v3_ind_seed7003,5.2,0.828421,0.580533,0.681401,0.574032,0.755125,0.856492,0.986333,78.1959,0.937358,20.1595,0.889522,10.6503
rf_subtract,roberta,sum,fb237_v3_ind_seed7004,5.5,0.823769,0.605714,0.69391,0.593715,0.758698,0.867565,1.0,183.0,0.95174,29.2189,0.896745,11.4411
rf_subtract,roberta,sum,fb237_v3_ind_seed7005,5.7,0.81737,0.555556,0.676063,0.577982,0.732798,0.849771,1.0,183.0,0.934633,22.5642,0.900229,12.1388
rf_subtract,roberta,sum,fb237_v3_ind_seed7006,5.5,0.81844,0.566667,0.685529,0.576617,0.755959,0.870602,0.986379,79.4472,0.939841,20.2792,0.904654,11.2145
rf_subtract,roberta,sum,fb237_v3_ind_seed7007,5.5,0.817052,0.556701,0.689882,0.581692,0.756663,0.877173,1.0,183.0,0.965238,30.0579,0.924681,14.8494
rf_subtract,roberta,sum,fb237_v3_ind_seed7008,5.2,0.823323,0.572748,0.676377,0.574516,0.739477,0.852105,1.0,183.0,0.959044,24.4676,0.906712,13.2116
rf_subtract,roberta,sum,fb237_v3_ind_seed7009,5.2,0.822273,0.586207,0.681175,0.574885,0.75,0.866359,1.0,183.0,0.965438,40.8445,0.908986,13.9366
rf_subtract,roberta,sum,fb237_v3_ind_seed7010,5.3,0.819559,0.575342,0.710133,0.604839,0.78341,0.892857,1.0,183.0,0.965438,26.3767,0.929724,11.8226
rf_concat,qwen,sum,fb237_v1_ind_seed7001,1.1,0.901352,0.65285,0.74139,0.598131,0.878505,0.939252,1.0,142.0,0.971963,10.3178,0.920561,3.9766
rf_concat,qwen,sum,fb237_v1_ind_seed7002,1.1,0.906518,0.64455,0.712108,0.593458,0.803738,0.88785,1.0,142.0,0.953271,16.0654,0.85514,4.9439
rf_concat,qwen,sum,fb237_v1_ind_seed7003,1.1,0.906942,0.651961,0.747753,0.632075,0.863208,0.924528,1.0,142.0,0.957547,11.2217,0.891509,4.1981
rf_concat,qwen,sum,fb237_v1_ind_seed7004,1.1,0.906566,0.607477,0.748645,0.657143,0.804762,0.919048,1.0,142.0,0.947619,17.5286,0.92381,8.3905
rf_concat,qwen,sum,fb237_v1_ind_seed7005,1.1,0.905603,0.652582,0.761756,0.628571,0.87619,0.961905,0.995238,40.7476,0.971429,11.2857,0.947619,6.0143
rf_concat,qwen,sum,fb237_v1_ind_seed7006,1.1,0.900856,0.673171,0.758145,0.650943,0.853774,0.933962,1.0,142.0,0.966981,14.6792,0.919811,5.1038
rf_concat,qwen,sum,fb237_v1_ind_seed7007,1.1,0.898792,0.629808,0.790107,0.67619,0.880952,0.957143,1.0,76.3048,0.990476,17.4095,0.961905,7.5286
rf_concat,qwen,sum,fb237_v1_ind_seed7008,1.1,0.912519,0.615385,0.766071,0.652174,0.845411,0.937198,1.0,142.0,0.961353,10.1401,0.932367,5.7778
rf_concat,qwen,sum,fb237_v1_ind_seed7009,1.1,0.9085,0.624365,0.779269,0.652174,0.903382,0.951691,1.0,142.0,0.956522,8.8986,0.932367,4.599
rf_concat,qwen,sum,fb237_v1_ind_seed7010,1.1,0.90658,0.688995,0.731746,0.607843,0.833333,0.911765,0.980392,54.4363,0.926471,7.8627,0.867647,3.9118
rf_concat,qwen,sum,fb237_v2_ind_seed7001,2.4,0.864969,0.605206,0.737431,0.597015,0.865672,0.936034,1.0,172.0,0.942431,8.8721,0.89339,3.6311
rf_concat,qwen,sum,fb237_v2_ind_seed7002,2.6,0.858625,0.595289,0.75558,0.633333,0.860417,0.927083,0.995833,68.8708,0.954167,12.0042,0.9,4.325
rf_concat,qwen,sum,fb237_v2_ind_seed7003,2.4,0.8527,0.633833,0.740189,0.607966,0.853249,0.93501,0.991614,75.065,0.958071,13.5786,0.907757,4.6038
rf_concat,qwen,sum,fb237_v2_ind_seed7004,2.5,0.856628,0.615721,0.699356,0.557447,0.808511,0.895745,1.0,172.0,0.925532,8.7383,0.861702,3.8298
rf_concat,qwen,sum,fb237_v2_ind_seed7005,2.4,0.847138,0.644211,0.739578,0.602941,0.852941,0.934874,1.0,172.0,0.953782,8.9769,0.882353,3.1849
rf_concat,qwen,sum,fb237_v2_ind_seed7006,2.6,0.853911,0.619149,0.733916,0.595289,0.837259,0.933619,0.989293,52.6167,0.948608,10.1606,0.905782,4.2505
rf_concat,qwen,sum,fb237_v2_ind_seed7007,2.4,0.849758,0.625268,0.755379,0.624742,0.863918,0.946392,0.991753,57.9402,0.962887,10.2103,0.921649,4.2371
rf_concat,qwen,sum,fb237_v2_ind_seed7008,2.4,0.853905,0.581741,0.75642,0.621564,0.87315,0.930233,1.0,172.0,0.955603,10.5243,0.89852,3.3953
rf_concat,qwen,sum,fb237_v2_ind_seed7009,2.3,0.857967,0.616702,0.739473,0.607759,0.846983,0.918103,0.980603,63.2371,0.950431,10.7737,0.900862,4.6767
rf_concat,qwen,sum,fb237_v2_ind_seed7010,2.4,0.852644,0.628261,0.766472,0.635593,0.879237,0.947034,1.0,172.0,0.95339,9.1886,0.90678,3.1144
rf_concat,qwen,sum,fb237_v3_ind_seed7001,4.8,0.82252,0.682081,0.777953,0.676201,0.856979,0.934783,0.995423,70.3684,0.959954,9.246,0.895881,3.246
rf_concat,qwen,sum,fb237_v3_ind_seed7002,4.4,0.830699,0.703271,0.770697,0.663636,0.851136,0.939773,0.990909,36.6398,0.935227,6.4295,0.879545,3.117
rf_concat,qwen,sum,fb237_v3_ind_seed7003,4.4,0.817739,0.698725,0.772339,0.665148,0.859909,0.944191,0.986333,29.6025,0.944191,6.4453,0.883827,2.9943
rf_concat,qwen,sum,fb237_v3_ind_seed7004,4.8,0.836115,0.701714,0.790238,0.681257,0.883277,0.94725,0.995511,54.0707,0.958474,8.6566,0.915825,3.1942
rf_concat,qwen,sum,fb237_v3_ind_seed7005,4.7,0.820211,0.670103,0.764228,0.66055,0.84633,0.932339,0.993119,80.3349,0.941514,7.4186,0.909404,4.0252
rf_concat,qwen,sum,fb237_v3_ind_seed7006,4.5,0.83225,0.678161,0.794408,0.69126,0.879682,0.951192,0.990919,31.7333,0.942111,5.4665,0.911464,3.1305
rf_concat,qwen,sum,fb237_v3_ind_seed7007,4.4,0.824078,0.674685,0.793074,0.695249,0.867903,0.942063,0.993048,40.4171,0.957126,8.4705,0.91657,3.6443
rf_concat,qwen,sum,fb237_v3_ind_seed7008,4.4,0.8148,0.691686,0.775438,0.673493,0.849829,0.938567,0.995449,63.165,0.96132,10.157,0.899886,3.9147
rf_concat,qwen,sum,fb237_v3_ind_seed7009,4.4,0.833626,0.685057,0.783901,0.680876,0.857143,0.940092,0.995392,59.6463,0.959677,9.0565,0.900922,3.3134
rf_concat,qwen,sum,fb237_v3_ind_seed7010,4.4,0.833626,0.673516,0.807858,0.714286,0.881336,0.949309,0.997696,73.9896,0.961982,8.1694,0.915899,3.1141
rf_concat,roberta,sum,fb237_v1_ind_seed7001,1.1,0.896345,0.658031,0.70398,0.565421,0.817757,0.915888,1.0,142.0,0.953271,10.5047,0.88785,3.785
rf_concat,roberta,sum,fb237_v1_ind_seed7002,1.0,0.898939,0.635071,0.693999,0.574766,0.780374,0.911215,1.0,142.0,0.957944,21.757,0.906542,9.0374
rf_concat,roberta,sum,fb237_v1_ind_seed7003,1.1,0.889336,0.612745,0.732013,0.617925,0.830189,0.896226,0.985849,61.8774,0.896226,6.3679,0.853774,3.8113
rf_concat,roberta,sum,fb237_v1_ind_seed7004,1.1,0.882828,0.607477,0.752999,0.647619,0.842857,0.914286,0.990476,57.7429,0.942857,16.3905,0.909524,7.8286
