model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
qwen,sum,fb237_v1_ind,100,10,96,3,0.803967,0.011337,0.7818,0.018203,0.681667,0.00704,0.649933,0.040652,0.649933,0.040652,0.901667,0.006951,0.968267,0.012279,0.9411,110.8
qwen,sum,fb237_v1_ind,75,10,80,3,0.803933,0.01013,0.7793,0.012366,0.684833,0.012931,0.6388,0.028626,0.6388,0.028626,0.911033,0.019417,0.966733,0.00822,0.940933,86.433333
qwen,sum,fb237_v1_ind,50,10,80,3,0.803267,0.016085,0.770933,0.020057,0.6852,0.022722,0.6277,0.046527,0.6277,0.046527,0.901633,0.011482,0.9635,0.017068,0.9411,66.233333
qwen,sum,fb237_v1_ind,75,10,64,3,0.803233,0.011102,0.7765,0.009756,0.679867,0.017855,0.634033,0.026299,0.634033,0.026299,0.908,0.008747,0.968167,0.018548,0.9411,87.933333
qwen,sum,fb237_v1_ind,125,10,48,3,0.8032,0.019864,0.780033,0.022,0.683667,0.028319,0.642,0.04819,0.642,0.04819,0.906267,0.02074,0.974633,0.014728,0.9411,132.866667
qwen,sum,fb237_v1_ind,175,10,48,3,0.803133,0.008858,0.780733,0.020802,0.684833,0.012931,0.645167,0.047947,0.645167,0.047947,0.9064,0.011107,0.963433,0.021862,0.9411,177.733333
qwen,sum,fb237_v1_ind,200,10,64,3,0.803033,0.010403,0.7818,0.02047,0.681533,0.010073,0.6501,0.044916,0.6501,0.044916,0.903267,0.006906,0.9667,0.005027,0.9411,198.033333
qwen,sum,fb237_v1_ind,200,10,96,3,0.802733,0.01554,0.7811,0.017494,0.681767,0.01727,0.645233,0.040601,0.645233,0.040601,0.9032,0.011441,0.969867,0.007627,0.940933,199.166667
qwen,sum,fb237_v1_ind,200,10,32,3,0.8027,0.005458,0.776033,0.016327,0.681733,0.012127,0.637233,0.035842,0.637233,0.035842,0.895367,0.005773,0.974633,0.010013,0.940767,197.133333
qwen,sum,fb237_v1_ind,200,10,80,3,0.8026,0.006451,0.786033,0.012102,0.681467,0.005564,0.6515,0.028752,0.6515,0.028752,0.906433,0.008373,0.9778,0.015345,0.940933,202.166667
qwen,sum,fb237_v1_ind,125,5,96,3,0.802367,0.011893,0.778033,0.018733,0.683133,0.015844,0.6388,0.040893,0.6388,0.040893,0.9111,0.013372,0.961933,0.012738,0.9411,131.966667
qwen,sum,fb237_v1_ind,150,10,96,3,0.8022,0.008336,0.7754,0.024394,0.681233,0.015078,0.6374,0.048774,0.6374,0.048774,0.8954,0.008561,0.971467,0.009811,0.9411,156.666667
qwen,sum,fb237_v1_ind,175,50,16,3,0.8021,0.006173,0.793967,0.015413,0.6777,0.01596,0.665767,0.036012,0.665767,0.036012,0.911233,0.010993,0.976267,0.004518,0.911133,175.433333
qwen,sum,fb237_v1_ind,200,5,80,3,0.8019,0.009891,0.784033,0.014478,0.681667,0.00704,0.649833,0.028899,0.649833,0.028899,0.901767,0.001704,0.972933,0.014941,0.9411,193.033333
qwen,sum,fb237_v1_ind,125,5,64,3,0.8018,0.006664,0.779333,0.017306,0.6798,0.008434,0.6421,0.039482,0.6421,0.039482,0.901633,0.008864,0.9698,0.007725,0.9411,131.266667
qwen,sum,fb237_v1_ind,75,5,64,3,0.801467,0.010257,0.779467,0.009416,0.684833,0.012931,0.645133,0.021451,0.645133,0.021451,0.903167,0.015116,0.968167,0.014262,0.9411,87.766667
qwen,sum,fb237_v1_ind,150,5,48,3,0.8014,0.013001,0.770167,0.023765,0.682967,0.015818,0.629333,0.045564,0.629333,0.045564,0.893633,0.024939,0.965,0.010402,0.9411,155.266667
qwen,sum,fb237_v1_ind,175,10,32,3,0.801267,0.004895,0.776933,0.012133,0.6866,0.002166,0.642033,0.025758,0.642033,0.025758,0.893733,0.01275,0.9619,0.008839,0.9406,175.7
qwen,sum,fb237_v1_ind,100,10,48,3,0.801267,0.0127,0.7757,0.016008,0.6797,0.017155,0.637233,0.035842,0.637233,0.035842,0.900067,0.0064,0.9665,0.02137,0.9411,109.866667
qwen,sum,fb237_v1_ind,200,1,64,3,0.8012,0.005027,0.781733,0.026908,0.679767,0.005218,0.6485,0.053138,0.6485,0.053138,0.906433,0.008765,0.961867,0.01015,0.9411,200.333333
qwen,sum,fb237_v1_ind,150,10,80,3,0.801133,0.011186,0.778833,0.018528,0.681433,0.018766,0.645233,0.040601,0.645233,0.040601,0.896967,0.007953,0.9699,0.010055,0.9411,156.033333
qwen,sum,fb237_v1_ind,150,5,64,3,0.8011,0.006495,0.771167,0.013979,0.678233,0.002892,0.632467,0.035846,0.632467,0.035846,0.898533,0.015144,0.961867,0.01323,0.9411,156.133333
qwen,sum,fb237_v1_ind,175,5,64,3,0.801067,0.014274,0.781567,0.018257,0.680567,0.018753,0.645233,0.045401,0.645233,0.045401,0.9081,0.009469,0.9698,0.017106,0.9411,175.933333
qwen,sum,fb237_v1_ind,150,5,96,3,0.801067,0.008903,0.775067,0.011773,0.684367,0.017718,0.637067,0.023912,0.637067,0.023912,0.896767,0.0184,0.973133,0.006866,0.940933,155.233333
qwen,sum,fb237_v1_ind,75,10,96,3,0.800733,0.013411,0.772667,0.02167,0.675033,0.014629,0.6324,0.045337,0.6324,0.045337,0.899933,0.0207,0.969867,0.007627,0.9411,87.933333
qwen,sum,fb237_v1_ind,200,10,48,3,0.800733,0.014784,0.771,0.018496,0.6852,0.017715,0.632233,0.032257,0.632233,0.032257,0.893633,0.013717,0.969733,0.019775,0.936267,199.8
qwen,sum,fb237_v1_ind,100,10,64,3,0.8007,0.0073,0.7836,0.022909,0.678133,0.015899,0.6484,0.052659,0.6484,0.052659,0.9094,0.026163,0.966667,0.01466,0.9411,110.366667
qwen,sum,fb237_v1_ind,50,5,96,3,0.800467,0.014879,0.7701,0.026801,0.681567,0.015021,0.633867,0.049949,0.633867,0.049949,0.898367,0.025685,0.969767,0.011491,0.9411,65.8
qwen,sum,fb237_v1_ind,175,10,80,3,0.800367,0.009864,0.7803,0.011911,0.678433,0.009713,0.641967,0.031104,0.641967,0.031104,0.9032,0.011441,0.966667,0.01466,0.9411,178.266667
qwen,sum,fb237_v1_ind,75,10,32,3,0.800267,0.00939,0.7744,0.017213,0.681367,0.010238,0.6357,0.033619,0.6357,0.033619,0.906433,0.008765,0.9571,0.0102,0.9411,87.933333
qwen,sum,fb237_v1_ind,150,5,32,3,0.8002,0.006843,0.769067,0.024357,0.6831,0.011269,0.6341,0.042917,0.6341,0.042917,0.886,0.011459,0.957033,0.017903,0.9411,154.733333
qwen,sum,fb237_v1_ind,50,10,48,3,0.800167,0.011968,0.7682,0.026726,0.681567,0.015021,0.627733,0.05288,0.627733,0.05288,0.892,0.024814,0.963467,0.015021,0.9411,66.233333
