model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v1_ind_seed7001,100,5.0,96,7001,0.7098,0.6495,0.9409,0.8245,0.7841,0.6495,0.9159,0.972,110.8,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7005,100,5.0,96,7005,0.6995,0.6095,0.9414,0.8073,0.764,0.6095,0.9048,0.981,110.4,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v1_ind_seed7009,100,5.0,96,7009,0.665,0.6908,0.941,0.7904,0.7997,0.6908,0.8986,0.9469,110.7,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7001,100,10.0,16,7001,0.6736,0.6542,0.9409,0.7958,0.79,0.6542,0.9159,0.972,108.7,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7005,100,10.0,16,7005,0.6573,0.6,0.9414,0.7821,0.7416,0.6,0.8571,0.9619,108.1,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v1_ind_seed7009,100,10.0,16,7009,0.6599,0.6618,0.9395,0.784,0.783,0.6618,0.8792,0.9565,110.2,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7001,100,10.0,32,7001,0.6736,0.6355,0.9409,0.7975,0.7727,0.6355,0.8972,0.9673,111.2,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v1_ind_seed7005,100,10.0,32,7005,0.6948,0.6048,0.9414,0.8047,0.7588,0.6048,0.8952,0.9619,109.0,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7009,100,10.0,32,7009,0.6599,0.6763,0.941,0.7898,0.7962,0.6763,0.913,0.9662,110.5,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7001,100,10.0,48,7001,0.6891,0.6402,0.9409,0.814,0.7815,0.6402,0.9065,0.9813,107.8,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7005,100,10.0,48,7005,0.6901,0.6,0.9414,0.8012,0.7576,0.6,0.9,0.9762,110.4,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7009,100,10.0,48,7009,0.6599,0.6715,0.941,0.7886,0.788,0.6715,0.8937,0.942,111.4,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7001,100,10.0,64,7001,0.6891,0.6495,0.9409,0.808,0.7899,0.6495,0.9252,0.9673,110.3,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v1_ind_seed7005,100,10.0,64,7005,0.6854,0.5952,0.9414,0.8007,0.7582,0.5952,0.9238,0.981,111.3,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7009,100,10.0,64,7009,0.6599,0.7005,0.941,0.7934,0.8027,0.7005,0.8792,0.9517,109.5,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v1_ind_seed7001,100,10.0,80,7001,0.6943,0.6449,0.9409,0.8187,0.7874,0.6449,0.9159,0.9673,110.5,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v1_ind_seed7005,100,10.0,80,7005,0.6854,0.6143,0.9414,0.7978,0.7673,0.6143,0.9095,0.981,110.0,Reach max iteration 50 | best_iter=17
qwen,sum,fb237_v1_ind_seed7009,100,10.0,80,7009,0.6751,0.6763,0.941,0.802,0.7954,0.6763,0.8986,0.9758,111.3,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7001,100,10.0,96,7001,0.6891,0.6495,0.9409,0.8163,0.7862,0.6495,0.9065,0.9673,110.0,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v1_ind_seed7005,100,10.0,96,7005,0.6808,0.6095,0.9414,0.8016,0.7618,0.6095,0.9048,0.981,110.9,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7009,100,10.0,96,7009,0.6751,0.6908,0.941,0.794,0.7974,0.6908,0.8937,0.9565,111.5,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v1_ind_seed7001,100,50.0,16,7001,0.6943,0.6776,0.9224,0.8079,0.7992,0.6776,0.9112,0.972,109.1,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v1_ind_seed7005,100,50.0,16,7005,0.6901,0.6238,0.9061,0.806,0.7712,0.6238,0.9095,0.981,108.7,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7009,100,50.0,16,7009,0.6853,0.7005,0.912,0.8097,0.81,0.7005,0.9082,0.9614,109.7,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7001,100,50.0,32,7001,0.6995,0.6682,0.9199,0.8184,0.7992,0.6682,0.9159,0.972,109.4,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v1_ind_seed7005,100,50.0,32,7005,0.7089,0.6381,0.9041,0.8159,0.7812,0.6381,0.9095,0.9857,110.2,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7009,100,50.0,32,7009,0.7005,0.6908,0.888,0.8133,0.8101,0.6908,0.9179,0.971,110.2,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v1_ind_seed7001,100,50.0,48,7001,0.7047,0.6495,0.9299,0.8199,0.7846,0.6495,0.9065,0.9766,109.5,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v1_ind_seed7005,100,50.0,48,7005,0.7089,0.6238,0.9308,0.8177,0.7756,0.6238,0.9048,0.9762,110.1,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v1_ind_seed7009,100,50.0,48,7009,0.6904,0.6908,0.922,0.8099,0.8091,0.6908,0.9275,0.971,110.8,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7001,100,50.0,64,7001,0.6891,0.6869,0.9339,0.8123,0.8109,0.6869,0.9299,0.9907,109.5,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7005,100,50.0,64,7005,0.7089,0.6667,0.9046,0.8203,0.7972,0.6667,0.919,0.9714,110.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7009,100,50.0,64,7009,0.7056,0.7053,0.8905,0.8134,0.8127,0.7053,0.913,0.9614,110.1,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7001,100,50.0,80,7001,0.715,0.6776,0.9014,0.8257,0.8047,0.6776,0.9206,0.9813,111.1,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7005,100,50.0,80,7005,0.6995,0.6333,0.9344,0.8132,0.7808,0.6333,0.919,0.9905,110.1,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v1_ind_seed7009,100,50.0,80,7009,0.6701,0.7005,0.8905,0.8045,0.8085,0.7005,0.8986,0.971,111.2,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7001,100,50.0,96,7001,0.7409,0.6822,0.8663,0.8337,0.8112,0.6822,0.9299,0.9813,110.2,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7005,100,50.0,96,7005,0.7089,0.6429,0.9334,0.8139,0.7866,0.6429,0.919,0.9952,109.2,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7009,100,50.0,96,7009,0.6751,0.7005,0.92,0.8061,0.8092,0.7005,0.913,0.9662,112.0,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7001,100,100.0,16,7001,0.7306,0.7056,0.8463,0.8289,0.8169,0.7056,0.9159,0.9673,80.9,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7005,100,100.0,16,7005,0.6995,0.6619,0.8188,0.8147,0.7853,0.6619,0.8952,0.9714,72.8,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7009,100,100.0,16,7009,0.6904,0.715,0.8485,0.8073,0.8232,0.715,0.9227,0.9662,74.3,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7001,100,100.0,32,7001,0.7461,0.715,0.8478,0.8361,0.8249,0.715,0.9299,0.9813,100.2,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7005,100,100.0,32,7005,0.7277,0.6905,0.8642,0.8279,0.8085,0.6905,0.9143,0.9905,93.1,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v1_ind_seed7009,100,100.0,32,7009,0.6904,0.7295,0.8515,0.8116,0.8288,0.7295,0.9227,0.9614,92.2,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v1_ind_seed7001,100,100.0,48,7001,0.7358,0.6916,0.8668,0.8345,0.8131,0.6916,0.9346,0.9813,110.2,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v1_ind_seed7005,100,100.0,48,7005,0.7183,0.681,0.8682,0.8263,0.8068,0.681,0.9238,0.9952,111.9,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v1_ind_seed7009,100,100.0,48,7009,0.7005,0.7053,0.867,0.8163,0.8146,0.7053,0.913,0.9758,111.3,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7001,100,100.0,64,7001,0.7513,0.7009,0.8698,0.8412,0.8198,0.7009,0.9299,0.972,111.4,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7005,100,100.0,64,7005,0.723,0.681,0.8465,0.8249,0.8087,0.681,0.9333,0.9952,111.3,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7009,100,100.0,64,7009,0.6954,0.7246,0.8705,0.8151,0.8269,0.7246,0.9227,0.9758,110.4,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v1_ind_seed7001,100,100.0,80,7001,0.7461,0.7103,0.8763,0.8415,0.8258,0.7103,0.9299,0.986,110.3,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v1_ind_seed7005,100,100.0,80,7005,0.7136,0.6857,0.8677,0.8206,0.8071,0.6857,0.919,0.9857,110.5,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v1_ind_seed7009,100,100.0,80,7009,0.6954,0.7101,0.8765,0.8142,0.8181,0.7101,0.913,0.9807,110.7,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7001,100,100.0,96,7001,0.7461,0.715,0.8563,0.8448,0.8265,0.715,0.9252,0.9813,111.2,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7005,100,100.0,96,7005,0.723,0.6952,0.8652,0.8249,0.8118,0.6952,0.9286,0.9857,110.5,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7009,100,100.0,96,7009,0.7107,0.744,0.88,0.8228,0.8362,0.744,0.913,0.9807,109.2,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v1_ind_seed7001,100,500.0,16,7001,0.5907,0.5701,0.5709,0.7145,0.7015,0.5701,0.8037,0.8879,51.5,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v1_ind_seed7005,100,500.0,16,7005,0.507,0.519,0.5608,0.6601,0.6648,0.519,0.7762,0.8571,52.3,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v1_ind_seed7009,100,500.0,16,7009,0.5533,0.5942,0.5765,0.7,0.7215,0.5942,0.8164,0.8986,52.1,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7001,100,500.0,32,7001,0.6477,0.5888,0.6084,0.7522,0.718,0.5888,0.8037,0.9065,53.3,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v1_ind_seed7005,100,500.0,32,7005,0.5962,0.5667,0.6148,0.7256,0.7037,0.5667,0.8048,0.8952,53.5,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v1_ind_seed7009,100,500.0,32,7009,0.5838,0.628,0.604,0.7202,0.7427,0.628,0.8164,0.9179,53.7,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v1_ind_seed7001,100,500.0,48,7001,0.6632,0.6215,0.6365,0.7687,0.7464,0.6215,0.8551,0.9299,54.9,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v1_ind_seed7005,100,500.0,48,7005,0.6385,0.6048,0.6487,0.7506,0.7291,0.6048,0.8238,0.919,55.2,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7009,100,500.0,48,7009,0.6142,0.6812,0.6525,0.746,0.7838,0.6812,0.8599,0.9179,54.6,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v1_ind_seed7001,100,500.0,64,7001,0.6788,0.6542,0.6725,0.7775,0.766,0.6542,0.8551,0.9299,61.2,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7005,100,500.0,64,7005,0.662,0.6048,0.6739,0.7713,0.7381,0.6048,0.8429,0.9286,62.6,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v1_ind_seed7009,100,500.0,64,7009,0.6193,0.6763,0.6595,0.7506,0.7827,0.6763,0.8696,0.9179,62.1,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v1_ind_seed7001,100,500.0,80,7001,0.6891,0.6776,0.681,0.7874,0.7827,0.6776,0.8598,0.9533,66.8,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v1_ind_seed7005,100,500.0,80,7005,0.6385,0.6238,0.6764,0.7626,0.7461,0.6238,0.8333,0.9333,64.0,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v1_ind_seed7009,100,500.0,80,7009,0.6294,0.6957,0.6795,0.7605,0.7961,0.6957,0.8744,0.9324,65.3,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7001,100,500.0,96,7001,0.6995,0.6636,0.687,0.7936,0.7772,0.6636,0.8738,0.9673,72.8,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7005,100,500.0,96,7005,0.6667,0.6476,0.6916,0.7806,0.7665,0.6476,0.8524,0.9476,72.4,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v1_ind_seed7009,100,500.0,96,7009,0.6294,0.7101,0.684,0.7608,0.8036,0.7101,0.8696,0.9372,73.4,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v1_ind_seed7001,100,1000.0,16,7001,0.3212,0.271,0.3065,0.4584,0.4325,0.271,0.5,0.7523,50.5,Reach max iteration 50 | best_iter=1
qwen,sum,fb237_v1_ind_seed7005,100,1000.0,16,7005,0.2958,0.3,0.3342,0.4224,0.4402,0.3,0.5095,0.7619,36.9,Reach max iteration 50 | best_iter=1
qwen,sum,fb237_v1_ind_seed7009,100,1000.0,16,7009,0.2589,0.2995,0.31,0.4306,0.4473,0.2995,0.4928,0.7488,43.8,Reach max iteration 50 | best_iter=1
qwen,sum,fb237_v1_ind_seed7001,100,1000.0,32,7001,0.4041,0.3925,0.4001,0.5276,0.5335,0.3925,0.5888,0.8037,50.0,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7005,100,1000.0,32,7005,0.2629,0.2905,0.3185,0.4136,0.4333,0.2905,0.5095,0.7571,50.6,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7009,100,1000.0,32,7009,0.3959,0.401,0.4045,0.5355,0.5393,0.401,0.5942,0.8164,50.5,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7001,100,1000.0,48,7001,0.4767,0.4439,0.4602,0.6109,0.6033,0.4439,0.7103,0.8551,50.4,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v1_ind_seed7005,100,1000.0,48,7005,0.385,0.3952,0.4442,0.5383,0.5572,0.3952,0.6762,0.8238,50.6,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7009,100,1000.0,48,7009,0.4518,0.4928,0.4845,0.5988,0.6146,0.4928,0.686,0.8551,50.9,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v1_ind_seed7001,100,1000.0,64,7001,0.487,0.4907,0.4902,0.6307,0.6386,0.4907,0.743,0.8458,50.6,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7005,100,1000.0,64,7005,0.4319,0.4524,0.5043,0.5897,0.6094,0.4524,0.7429,0.8571,50.9,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v1_ind_seed7009,100,1000.0,64,7009,0.4518,0.4928,0.501,0.6147,0.6352,0.4928,0.7536,0.8696,51.8,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7001,100,1000.0,80,7001,0.5544,0.5374,0.5198,0.6744,0.6664,0.5374,0.7477,0.8738,51.9,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v1_ind_seed7005,100,1000.0,80,7005,0.4366,0.4524,0.5159,0.5913,0.6081,0.4524,0.7333,0.8667,52.5,Reach max iteration 50 | best_iter=41
qwen,sum,fb237_v1_ind_seed7009,100,1000.0,80,7009,0.4873,0.5217,0.5265,0.6429,0.6574,0.5217,0.744,0.8889,51.3,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7001,100,1000.0,96,7001,0.5544,0.5187,0.5188,0.6766,0.6602,0.5187,0.757,0.8692,53.1,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7005,100,1000.0,96,7005,0.4507,0.4762,0.5225,0.6118,0.63,0.4762,0.7571,0.8714,53.2,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v1_ind_seed7009,100,1000.0,96,7009,0.4873,0.5169,0.527,0.6428,0.6604,0.5169,0.7681,0.8841,53.2,Reach max iteration 50 | best_iter=39
qwen,sum,fb237_v1_ind_seed7001,125,1.0,16,7001,0.6839,0.6636,0.9409,0.7998,0.7898,0.6636,0.9019,0.9673,133.2,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v1_ind_seed7005,125,1.0,16,7005,0.662,0.5857,0.9414,0.7798,0.7321,0.5857,0.8571,0.9429,130.9,Reach max iteration 50 | best_iter=39
qwen,sum,fb237_v1_ind_seed7009,125,1.0,16,7009,0.6548,0.6667,0.941,0.7775,0.7861,0.6667,0.8889,0.9469,132.3,Reach max iteration 50 | best_iter=17
qwen,sum,fb237_v1_ind_seed7001,125,1.0,32,7001,0.6632,0.6495,0.9409,0.7898,0.785,0.6495,0.9019,0.9673,132.2,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7005,125,1.0,32,7005,0.6901,0.6,0.9414,0.7959,0.7511,0.6,0.8952,0.9476,128.9,Reach max iteration 50 | best_iter=16
qwen,sum,fb237_v1_ind_seed7009,125,1.0,32,7009,0.665,0.6763,0.941,0.7839,0.7903,0.6763,0.8986,0.9565,130.8,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v1_ind_seed7001,125,1.0,48,7001,0.6788,0.6121,0.9409,0.799,0.7612,0.6121,0.9019,0.9673,131.2,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7005,125,1.0,48,7005,0.6432,0.619,0.9414,0.7741,0.7609,0.619,0.8857,0.9762,134.1,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7009,125,1.0,48,7009,0.665,0.657,0.941,0.7846,0.7769,0.657,0.8841,0.9324,132.8,Reach max iteration 50 | best_iter=23
qwen,sum,fb237_v1_ind_seed7001,125,1.0,64,7001,0.6684,0.6355,0.9409,0.7996,0.7722,0.6355,0.9065,0.9626,131.6,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v1_ind_seed7005,125,1.0,64,7005,0.6714,0.5905,0.9414,0.7876,0.7507,0.5905,0.8952,0.9762,130.0,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v1_ind_seed7009,125,1.0,64,7009,0.6447,0.686,0.941,0.773,0.7975,0.686,0.8986,0.942,133.4,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v1_ind_seed7001,125,1.0,80,7001,0.6632,0.6402,0.9409,0.7952,0.7767,0.6402,0.8879,0.9673,132.2,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v1_ind_seed7005,125,1.0,80,7005,0.6573,0.6286,0.9414,0.7819,0.7651,0.6286,0.8714,0.9762,133.9,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v1_ind_seed7009,125,1.0,80,7009,0.6599,0.6812,0.941,0.7798,0.7892,0.6812,0.8841,0.9517,130.0,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7001,125,1.0,96,7001,0.6891,0.6355,0.9409,0.8084,0.7756,0.6355,0.9065,0.9673,131.2,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v1_ind_seed7005,125,1.0,96,7005,0.6667,0.6,0.9414,0.7816,0.7446,0.6,0.8714,0.9524,134.6,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7009,125,1.0,96,7009,0.6599,0.6763,0.941,0.7872,0.7879,0.6763,0.8744,0.9517,132.6,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v1_ind_seed7001,125,5.0,16,7001,0.6788,0.6495,0.9409,0.7997,0.7816,0.6495,0.9112,0.9579,128.9,Reach max iteration 50 | best_iter=16
qwen,sum,fb237_v1_ind_seed7005,125,5.0,16,7005,0.6761,0.5857,0.9414,0.7887,0.7341,0.5857,0.8571,0.9619,126.2,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v1_ind_seed7009,125,5.0,16,7009,0.6548,0.6763,0.941,0.783,0.7916,0.6763,0.9034,0.9517,129.7,Reach max iteration 50 | best_iter=23
qwen,sum,fb237_v1_ind_seed7001,125,5.0,32,7001,0.6736,0.6355,0.9409,0.7961,0.7799,0.6355,0.9159,0.9766,127.3,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v1_ind_seed7005,125,5.0,32,7005,0.6901,0.6143,0.9414,0.7999,0.7593,0.6143,0.8905,0.9762,129.6,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7009,125,5.0,32,7009,0.6497,0.6667,0.941,0.7801,0.7826,0.6667,0.8841,0.9372,127.3,Reach max iteration 50 | best_iter=17
qwen,sum,fb237_v1_ind_seed7001,125,5.0,48,7001,0.6995,0.6449,0.9409,0.8195,0.7795,0.6449,0.9065,0.9673,128.9,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v1_ind_seed7005,125,5.0,48,7005,0.662,0.5905,0.9414,0.7849,0.7518,0.5905,0.8905,0.981,131.9,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v1_ind_seed7009,125,5.0,48,7009,0.6548,0.6667,0.941,0.7828,0.785,0.6667,0.8889,0.9614,130.1,Reach max iteration 50 | best_iter=17
qwen,sum,fb237_v1_ind_seed7001,125,5.0,64,7001,0.6839,0.6308,0.9409,0.8087,0.7788,0.6308,0.9112,0.9766,130.9,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7005,125,5.0,64,7005,0.6854,0.6095,0.9414,0.8013,0.7623,0.6095,0.9,0.9714,132.9,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v1_ind_seed7009,125,5.0,64,7009,0.6701,0.686,0.941,0.7954,0.7969,0.686,0.8937,0.9614,130.0,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v1_ind_seed7001,125,5.0,80,7001,0.6736,0.6495,0.9409,0.799,0.7841,0.6495,0.8925,0.9766,131.9,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7005,125,5.0,80,7005,0.6854,0.619,0.9414,0.7989,0.7661,0.619,0.9048,0.9857,130.1,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v1_ind_seed7009,125,5.0,80,7009,0.6701,0.6957,0.941,0.7906,0.7996,0.6957,0.8889,0.9565,128.0,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v1_ind_seed7001,125,5.0,96,7001,0.6943,0.6449,0.9409,0.8148,0.7856,0.6449,0.9252,0.9579,131.4,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7005,125,5.0,96,7005,0.6901,0.5952,0.9414,0.8012,0.7567,0.5952,0.9095,0.9762,133.5,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v1_ind_seed7009,125,5.0,96,7009,0.665,0.6763,0.941,0.7911,0.7918,0.6763,0.8986,0.9517,131.0,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7001,125,10.0,16,7001,0.6736,0.6589,0.9409,0.794,0.7918,0.6589,0.9112,0.9626,132.8,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v1_ind_seed7005,125,10.0,16,7005,0.6714,0.6,0.9414,0.7884,0.7475,0.6,0.881,0.9619,127.9,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v1_ind_seed7009,125,10.0,16,7009,0.6599,0.6667,0.941,0.7841,0.7891,0.6667,0.8937,0.9662,133.1,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7001,125,10.0,32,7001,0.6736,0.6308,0.9409,0.8056,0.772,0.6308,0.8925,0.972,133.7,Reach max iteration 50 | best_iter=17
qwen,sum,fb237_v1_ind_seed7005,125,10.0,32,7005,0.6854,0.6,0.9414,0.8005,0.7547,0.6,0.9095,0.9714,131.2,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7009,125,10.0,32,7009,0.6599,0.686,0.941,0.7877,0.795,0.686,0.8841,0.9614,133.0,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7001,125,10.0,48,7001,0.715,0.6495,0.9409,0.8259,0.7894,0.6495,0.9252,0.972,131.7,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7005,125,10.0,48,7005,0.6761,0.5905,0.9414,0.7947,0.7549,0.5905,0.9095,0.9905,132.8,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7009,125,10.0,48,7009,0.6599,0.686,0.941,0.789,0.7958,0.686,0.8841,0.9614,134.1,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v1_ind_seed7001,125,10.0,64,7001,0.6943,0.6402,0.9409,0.8153,0.784,0.6402,0.9065,0.972,133.8,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v1_ind_seed7005,125,10.0,64,7005,0.6948,0.6095,0.9414,0.8044,0.7654,0.6095,0.9,0.9857,130.7,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7009,125,10.0,64,7009,0.6853,0.6763,0.941,0.7989,0.7876,0.6763,0.8792,0.9469,132.5,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v1_ind_seed7001,125,10.0,80,7001,0.6943,0.6402,0.9409,0.8141,0.7817,0.6402,0.9206,0.9766,132.5,Reach max iteration 50 | best_iter=30
qwen,sum,fb237_v1_ind_seed7005,125,10.0,80,7005,0.6714,0.6095,0.9414,0.7921,0.7637,0.6095,0.919,0.9667,133.8,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7009,125,10.0,80,7009,0.6497,0.6812,0.941,0.7845,0.7918,0.6812,0.8792,0.9565,134.1,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v1_ind_seed7001,125,10.0,96,7001,0.6943,0.6402,0.9409,0.817,0.78,0.6402,0.9159,0.9766,133.1,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7005,125,10.0,96,7005,0.6808,0.5857,0.9414,0.7987,0.7532,0.5857,0.9143,0.9762,132.7,Reach max iteration 50 | best_iter=17
qwen,sum,fb237_v1_ind_seed7009,125,10.0,96,7009,0.6701,0.6812,0.941,0.7979,0.7961,0.6812,0.8986,0.9614,133.4,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v1_ind_seed7001,125,50.0,16,7001,0.6891,0.6636,0.9234,0.8094,0.7937,0.6636,0.9159,0.9673,131.1,Reach max iteration 50 | best_iter=44
