model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
roberta,sum,fb237_v1_ind,100,50,80,3,0.810433,0.005142,0.808933,0.005121,0.692933,0.015622,0.683167,0.012962,0.683167,0.012962,0.922233,0.012171,0.977833,0.007073,0.916867,120.033333
roberta,sum,fb237_v1_ind,100,50,32,3,0.810433,0.008399,0.793033,0.007925,0.693167,0.025595,0.6563,0.018363,0.6563,0.018363,0.915933,0.010971,0.982667,0.00952,0.918567,120.033333
roberta,sum,fb237_v1_ind,200,50,80,3,0.8103,0.012909,0.805667,0.009311,0.6982,0.030644,0.6832,0.015073,0.6832,0.015073,0.916133,0.013039,0.982667,0.00957,0.8671,218.133333
roberta,sum,fb237_v1_ind,125,50,96,3,0.8103,0.017774,0.8034,0.005047,0.691167,0.031498,0.672067,0.011642,0.672067,0.011642,0.930067,0.015702,0.985833,0.009301,0.905633,144.633333
roberta,sum,fb237_v1_ind,175,50,96,3,0.810033,0.016663,0.806167,0.003007,0.6918,0.032783,0.681633,0.016822,0.681633,0.016822,0.919,0.018474,0.977833,0.002491,0.911033,195.6
roberta,sum,fb237_v1_ind,150,50,64,3,0.809633,0.010655,0.8074,0.005576,0.685033,0.019853,0.6801,0.016069,0.6801,0.016069,0.9222,0.020845,0.984267,0.009721,0.903833,176.566667
roberta,sum,fb237_v1_ind,175,50,16,3,0.809067,0.015649,0.801033,0.01669,0.691167,0.031498,0.680233,0.031482,0.680233,0.031482,0.909733,0.013366,0.982733,0.011697,0.867667,191.8
roberta,sum,fb237_v1_ind,125,50,64,3,0.808633,0.009728,0.809333,0.0069,0.688033,0.024503,0.683133,0.013726,0.683133,0.013726,0.9238,0.013839,0.984167,0.002485,0.912733,143.5
roberta,sum,fb237_v1_ind,75,50,16,3,0.808533,0.009023,0.7985,0.013262,0.686433,0.01871,0.670633,0.026356,0.670633,0.026356,0.909633,0.005616,0.987433,0.011796,0.894267,91.433333
roberta,sum,fb237_v1_ind,175,50,48,3,0.8084,0.005742,0.8011,0.002427,0.686233,0.014908,0.6657,0.009302,0.6657,0.009302,0.9253,0.016385,0.982733,0.011697,0.916233,193.566667
roberta,sum,fb237_v1_ind,150,50,48,3,0.808167,0.014956,0.809333,0.005811,0.691167,0.031498,0.684633,0.005105,0.684633,0.005105,0.927033,0.00809,0.9842,0.006972,0.908633,176.2
roberta,sum,fb237_v1_ind,200,50,48,3,0.808133,0.010384,0.8,0.002352,0.690967,0.024471,0.668933,0.011317,0.668933,0.011317,0.923767,0.01555,0.9826,0.005197,0.897033,214.1
roberta,sum,fb237_v1_ind,75,50,64,3,0.808067,0.01156,0.804467,0.003859,0.686733,0.02243,0.670533,0.013951,0.670533,0.013951,0.9286,0.009283,0.982567,0.005519,0.917733,93.433333
roberta,sum,fb237_v1_ind,200,50,32,3,0.8078,0.011543,0.8006,0.004814,0.686167,0.027266,0.671967,0.013,0.671967,0.013,0.919033,0.013878,0.985767,0.004606,0.908667,219.466667
roberta,sum,fb237_v1_ind,200,50,96,3,0.807767,0.017236,0.7964,0.014329,0.690933,0.040264,0.661,0.027717,0.661,0.027717,0.917333,0.022846,0.981,0.004657,0.915167,218.233333
roberta,sum,fb237_v1_ind,125,50,80,3,0.807367,0.016919,0.797533,0.006976,0.684633,0.030365,0.659533,0.023719,0.659533,0.023719,0.9221,0.023588,0.980967,0.004905,0.919733,144.3
roberta,sum,fb237_v1_ind,125,50,32,3,0.807167,0.008386,0.796333,0.01191,0.693067,0.011143,0.6658,0.018713,0.6658,0.018713,0.920533,0.031824,0.977733,0.010228,0.8925,142.666667
roberta,sum,fb237_v1_ind,75,50,96,3,0.8071,0.016213,0.811667,0.002665,0.684767,0.031281,0.687867,0.007006,0.687867,0.007006,0.930233,0.003821,0.981,0.0003,0.921233,94.166667
