model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v2_ind_seed7005,50,50.0,32,7005,0.6779,0.6345,0.8889,0.8052,0.7798,0.6345,0.9097,0.9769,138.1,Reach max iteration 50 | best_iter=47
roberta,sum,fb237_v2_ind_seed7009,50,50.0,32,7009,0.6231,0.5991,0.8589,0.7722,0.7484,0.5991,0.8772,0.9569,137.7,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,50,50.0,48,7001,0.6616,0.6503,0.8873,0.7962,0.7847,0.6503,0.9062,0.9808,138.7,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v2_ind_seed7005,50,50.0,48,7005,0.68,0.6555,0.8418,0.8056,0.7922,0.6555,0.9139,0.9727,137.8,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7009,50,50.0,48,7009,0.6167,0.6142,0.8546,0.7634,0.7551,0.6142,0.875,0.9634,139.1,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,50,50.0,64,7001,0.6659,0.6439,0.8546,0.7929,0.778,0.6439,0.9062,0.9723,138.9,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7005,50,50.0,64,7005,0.6695,0.6534,0.8834,0.7984,0.7921,0.6534,0.9244,0.9769,138.6,Reach max iteration 50 | best_iter=14
roberta,sum,fb237_v2_ind_seed7009,50,50.0,64,7009,0.6146,0.6185,0.8899,0.7678,0.7616,0.6185,0.8858,0.9677,139.1,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v2_ind_seed7001,50,50.0,80,7001,0.6616,0.6418,0.8964,0.7969,0.7851,0.6418,0.919,0.9808,139.0,Reach max iteration 50 | best_iter=43
roberta,sum,fb237_v2_ind_seed7005,50,50.0,80,7005,0.6926,0.6597,0.8645,0.808,0.7929,0.6597,0.9181,0.9748,139.9,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7009,50,50.0,80,7009,0.6124,0.6207,0.8606,0.7639,0.7585,0.6207,0.8621,0.9612,139.7,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,50,50.0,96,7001,0.6681,0.6333,0.8969,0.7986,0.7792,0.6333,0.9104,0.9808,139.4,Reach max iteration 50 | best_iter=31
roberta,sum,fb237_v2_ind_seed7005,50,50.0,96,7005,0.68,0.6408,0.8879,0.8046,0.7829,0.6408,0.9118,0.9727,137.3,Reach max iteration 50 | best_iter=20
roberta,sum,fb237_v2_ind_seed7009,50,50.0,96,7009,0.621,0.6164,0.876,0.771,0.7543,0.6164,0.8707,0.9591,137.5,Reach max iteration 50 | best_iter=5
roberta,sum,fb237_v2_ind_seed7001,50,100.0,16,7001,0.6898,0.6674,0.8179,0.8104,0.7956,0.6674,0.9083,0.9829,137.4,Reach max iteration 50 | best_iter=33
roberta,sum,fb237_v2_ind_seed7005,50,100.0,16,7005,0.6989,0.6681,0.8112,0.8103,0.7969,0.6681,0.916,0.9727,138.0,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v2_ind_seed7009,50,100.0,16,7009,0.6488,0.6444,0.8214,0.7837,0.7726,0.6444,0.8793,0.9612,138.8,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7001,50,100.0,32,7001,0.6811,0.661,0.8208,0.807,0.7938,0.661,0.9168,0.9851,138.6,Reach max iteration 50 | best_iter=6
roberta,sum,fb237_v2_ind_seed7005,50,100.0,32,7005,0.6989,0.6765,0.822,0.8148,0.8034,0.6765,0.9202,0.9769,138.4,Reach max iteration 50 | best_iter=13
roberta,sum,fb237_v2_ind_seed7009,50,100.0,32,7009,0.636,0.6487,0.8351,0.7801,0.7786,0.6487,0.8922,0.9784,139.7,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v2_ind_seed7001,50,100.0,48,7001,0.6833,0.678,0.8126,0.8079,0.8029,0.678,0.9104,0.9829,139.2,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7005,50,100.0,48,7005,0.7011,0.6744,0.8056,0.8126,0.7986,0.6744,0.9181,0.9685,139.4,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7009,50,100.0,48,7009,0.6296,0.6336,0.8092,0.7732,0.7657,0.6336,0.8707,0.972,140.4,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,50,100.0,64,7001,0.6725,0.6716,0.8186,0.8037,0.8008,0.6716,0.9126,0.9872,139.7,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7005,50,100.0,64,7005,0.7095,0.6744,0.8317,0.8187,0.8024,0.6744,0.9181,0.979,136.8,Reach max iteration 50 | best_iter=46
roberta,sum,fb237_v2_ind_seed7009,50,100.0,64,7009,0.636,0.6422,0.8488,0.7816,0.7756,0.6422,0.8858,0.9698,138.8,Reach max iteration 50 | best_iter=22
roberta,sum,fb237_v2_ind_seed7001,50,100.0,80,7001,0.6768,0.678,0.8388,0.8064,0.8047,0.678,0.9211,0.9851,138.7,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v2_ind_seed7005,50,100.0,80,7005,0.7032,0.6891,0.8269,0.8154,0.8115,0.6891,0.9223,0.9748,139.3,Reach max iteration 50 | best_iter=7
roberta,sum,fb237_v2_ind_seed7009,50,100.0,80,7009,0.636,0.6379,0.8246,0.7788,0.7695,0.6379,0.8707,0.9741,139.9,Reach max iteration 50 | best_iter=4
